#HSP33.3用辞書。deHSP.exeの動作に必須

#Keys,,Values,,
#TypeCode,ValueCode,Name,Type,ExtraFlag
$Code,,,,
0x00,0x0000,+,Operator,Priority_3
0x00,0x0001,-,Operator,Priority_3
0x00,0x0002,*,Operator,Priority_4
0x00,0x0003,/,Operator,Priority_4
0x00,0x0004,\,Operator,Priority_4
0x00,0x0005,&,Operator,Priority_0
0x00,0x0006,|,Operator,Priority_0
0x00,0x0007,^,Operator,Priority_0
0x00,0x0008,=,Operator,Priority_1
0x00,0x0009,!,Operator,Priority_1
0x00,0x000A,>,Operator,Priority_1
0x00,0x000B,<,Operator,Priority_1
0x00,0x000C,>=,Operator,Priority_1
0x00,0x000D,<=,Operator,Priority_1,
0x00,0x000E,>>,Operator,Priority_2,
0x00,0x000F,<<,Operator,Priority_2,
0x00,0x0028,(,Symbol,BracketStart,
0x00,0x0029,),Symbol,BracketEnd,
0x00,0x003F,?,Symbol,,
0x01,-1,var,Variable,,
0x02,-1,,String,,
0x03,-1,,Double,,
0x04,-1,,Integer,,
0x05,-1,prm,Param,,
0x07,-1,*label,Label,,
0x0C,-1,,UserFunction,,
0x10,-1,,DllFunction,,
#0x11,0x1000,,ComFunction,,hardcoded
#0x12,-1,,PlugInFunction,,hardcoded
0x0F,0x0019,on,OnStatement
0x08,0x0000,onexit,OnEventStatement
0x08,0x0001,onerror,OnEventStatement
0x08,0x0002,onkey,OnEventStatement
0x08,0x0003,onclick,OnEventStatement
0x08,0x0004,oncmd,OnEventStatement
0x09,0x0000,button,OnEventStatement
0x09,0x10000,button,HspFunction
0x08,0x0011,exist,HspFunction
0x08,0x0012,delete,HspFunction
0x08,0x0013,mkdir,HspFunction
0x08,0x0014,chdir,HspFunction
0x08,0x0015,dirlist,HspFunction
0x08,0x0016,bload,HspFunction
0x08,0x0017,bsave,HspFunction
0x08,0x0018,bcopy,HspFunction
0x08,0x0019,memfile,HspFunction
0x08,0x0020,memcpy,HspFunction
0x08,0x0021,memset,HspFunction
0x08,0x0022,notesel,HspFunction
0x08,0x0023,noteadd,HspFunction
0x08,0x0024,notedel,HspFunction
0x08,0x0025,noteload,HspFunction
0x08,0x0026,notesave,HspFunction
0x08,0x0027,randomize,HspFunction
0x08,0x0028,noteunsel,HspFunction
0x08,0x0029,noteget,HspFunction
0x08,0x001A,poke,HspFunction
0x08,0x001B,wpoke,HspFunction
0x08,0x001C,lpoke,HspFunction
0x08,0x001D,getstr,HspFunction
0x08,0x001E,chdpm,HspFunction
0x08,0x001F,memexpand,HspFunction
0x09,0x0001,chgdisp,HspFunction
0x09,0x0002,exec,HspFunction
0x09,0x0003,dialog,HspFunction
0x09,0x0008,mmload,HspFunction
0x09,0x0009,mmplay,HspFunction
0x09,0x0010,title,HspFunction
0x09,0x0011,pos,HspFunction
0x09,0x0012,circle,HspFunction
0x09,0x0013,cls,HspFunction
0x09,0x0014,font,HspFunction
0x09,0x0015,sysfont,HspFunction
0x09,0x0016,objsize,HspFunction
0x09,0x0017,picload,HspFunction
0x09,0x0018,color,HspFunction
0x09,0x0019,palcolor,HspFunction
0x09,0x0020,gmode,HspFunction
0x09,0x0021,bmpsave,HspFunction
0x09,0x0022,hsvcolor,HspFunction
0x09,0x0023,getkey,HspFunction
0x09,0x0024,listbox,HspFunction
0x09,0x0025,chkbox,HspFunction
0x09,0x0026,combox,HspFunction
0x09,0x0027,input,HspFunction
0x09,0x0028,mesbox,HspFunction
0x09,0x0029,buffer,HspFunction
0x09,0x0030,clrobj,HspFunction
0x09,0x0031,boxf,HspFunction
0x09,0x0032,objprm,HspFunction
0x09,0x0033,objmode,HspFunction
0x09,0x0034,stick,HspFunction
0x09,0x0035,grect,HspFunction
0x09,0x0036,grotate,HspFunction
0x09,0x0037,gsquare,HspFunction
0x09,0x000A,mmstop,HspFunction
0x09,0x000B,mci,HspFunction
0x09,0x000C,pset,HspFunction
